"BOGR","HECO","PASM","POSE","midRings"
1,1,1,1,1
0.084049141264487,0.264412457131577,0.416597709845009,0.8824391574149,3
0.0293497605045293,0.113041032506026,0.141615269780591,0.37849123882319,5
0.0161386796311499,0.0337566747153088,0.0394510099563954,0.072333502418916,7
0.00287137882705586,0.0337566747086451,0.0090774614614249,0.00643851368422676,9
0.00287137882705586,0.00263047111413996,0.00174649480007695,0.000296252358848579,11
0.000581069208000824,6.13734767888175e-07,0.000285636369192184,7.97649879979363e-06,13
0.00058106900329952,1.63697328771252e-10,4.04491826728236e-05,1.40830808198566e-07,15
0.00058106900329952,2.77648816991303e-12,5.0566906901642e-06,1.80380817463204e-09,17
0.00058106900329952,8.24526129573858e-13,5.6877336129732e-07,1.83334556423463e-11,19
0.000581068585403344,3.04001319928005e-13,1.02076860439904e-08,4.30930506708986e-15,22.5
1.37519234530453e-08,2.9305640655746e-13,2.53045534153846e-11,2.45085647522622e-20,27.5
8.71633030645777e-17,1.74080355461241e-13,6.0032660610657e-14,2.44724176081317e-25,32.5
4.96603533477744e-22,1.28637711473923e-13,1.75291042949963e-16,7.9453698587126e-30,37.5
1.13946157995487e-22,1.28637711473923e-13,7.65269441597131e-19,1.16777575601611e-33,42.5
1.13946157995487e-22,1.28637711473923e-13,5.71334710338562e-21,8.23659212179354e-37,47.5
1.13946157995487e-22,1.28637711473923e-13,1.18164992053312e-23,2.29961886187472e-40,55
1.13946157995487e-22,1.28637711473923e-13,2.7379633779826e-26,1.62525067252653e-43,65
1.13946157995487e-22,1.28637711473923e-13,4.57039413358072e-28,5.38153455967845e-46,75
1.13946157995487e-22,1.28637711473923e-13,2.32188679601242e-29,1.1087483040117e-48,85
1.13946157995487e-22,1.28637711473923e-13,1.32539590214774e-30,7.17844291465991e-52,95
1.13946157995487e-22,1.28637711473923e-13,3.56495592005858e-32,2.03101353452563e-55,105
1.13946157995487e-22,6.70591309239222e-14,2.40727306919197e-34,7.10346049599677e-59,115
6.9912406285247e-24,1.72594898991923e-16,3.00884624900821e-37,9.78558575213744e-62,125
2.89888004989029e-26,5.54821327304049e-21,6.56612518207142e-41,1.44708409397032e-63,135
3.44242055613215e-30,2.59218560234103e-25,2.18326622145054e-45,4.0596469833277e-64,145
