"BOER","SCBR","SPFL","midRings"
1,1,1,1
0.414774489496751,0.451996951172628,0.410597149988953,3
0.150916750779651,0.185835637632473,0.151742087624071,5
0.0482791853695482,0.0694410075887062,0.051449370711241,7
0.01368061846687,0.023575758084396,0.0163833786185666,9
0.00347286404196063,0.00727461931711441,0.00498692880752312,11
0.000799708832924563,0.00204108659406599,0.00147151724729957,13
0.000169258902887762,0.000521878624012709,0.000426526935624634,15
3.34111128544902e-05,0.000122152007653318,0.000122942726853993,17
6.25010639472058e-06,2.63304219472045e-05,3.5680697608093e-05,19
3.07303119713538e-07,1.50050054222638e-06,4.3216038881654e-06,22.5
4.01955974553919e-09,1.79278178643689e-08,2.66840457963832e-07,27.5
6.10646418004608e-11,1.62429796890632e-10,2.54219018858236e-08,32.5
1.32100802609267e-12,1.26566406465968e-12,4.3845668812118e-09,37.5
4.90711444133563e-14,9.44981304523181e-15,1.54906212817111e-09,42.5
3.67116342543118e-15,7.41397445488996e-17,1.18076112051304e-09,47.5
3.57695591158393e-16,6.79855549212078e-20,1.18076112051304e-09,55
2.32472029086787e-16,1.5298863191149e-23,1.18076112051304e-09,65
2.32472029086787e-16,1.65831171850816e-26,1.18076112051304e-09,75
2.32472029086787e-16,1.39508040482917e-28,1.18076112051304e-09,85
2.32472029086787e-16,1.26845874235698e-29,1.18076112051304e-09,95
2.32472029086787e-16,9.42857006385426e-30,1.18076112051304e-09,105
2.32472029086787e-16,9.42857006385426e-30,9.68908606702401e-10,115
2.32472029086787e-16,9.42857006385426e-30,1.65705991796072e-10,125
2.32472029086787e-16,9.42857006385426e-30,5.11834726247852e-12,135
1.19381591557661e-16,9.42857006385426e-30,2.83162216128654e-14,145
